,code,lat,lon,city,name
48,ADQ,57.7545,-152.512,Kodiak,Kodiak Airport
49,ADU,38.2465,48.2951,Ardabil,Ardabil Airport
50,ADX,56.377,-2.86117,St. Andrews,Leuchars Airport
51,ADZ,12.5811,-81.7092,San Andrés,Sesquicentenario Airport
52,AEH,13.8486,20.8472,Abéché,Abeche Airport
53,AEP,-34.5617,-58.4113,Buenos Aires,Aeroparque Jorge Newbery
54,AER,43.447,39.9552,Sochi,Adler Airport
55,AES,62.5607,6.11129,Vigra,Vigra Airport
56,AET,66.55,-152.65,Allakaket,Allakaket Airport
57,AEX,31.323,-92.5417,Alexandria,Alexandria International Airport
58,AEY,65.6561,-18.0923,Akureyri,Akureyri Airport
59,AFA,-34.5886,-68.4028,San Rafael,San Rafael Airport
