"","city","latitude","longitude","price"
"152","Kutaisi",42.176667,42.4825,46
"153","Łódź",51.721944,19.398056,46
"154","Belgrade",44.818333,20.309167,46
"155","Agadir",30.325,-9.413056,46
"156","Zürich",47.464722,8.549167,47
"157","Cardiff",51.396667,-3.343333,48
"158","Palermo",38.181944,13.099444,48
"159","Vienna",48.110278,16.578056,49
"160","Paphos",34.718056,32.485833,49
"161","Cluj-Napoca",46.785278,23.686111,49
"162","Tampere",61.414167,23.604444,50
"163","Toulon",43.097222,6.146111,51
"164","Lorient",47.760556,-3.44,51
"165","Debrecen",47.488889,21.615278,52
"166","Kharkiv",49.926111,36.283611,52
"167","Brno",49.151389,16.694444,52
"168","Suceava",47.6875,26.354167,52
"169","Oujda",34.787222,-1.923889,52
"170","Granada",37.188611,-3.777222,52
"171","Geneva",46.238056,6.108889,53
"172","Ovda",29.940278,34.935833,53
"173","Riga",56.923611,23.971111,53
"174","Bilbao",43.301111,-2.910556,53
"175","Reus",41.1475,1.167222,54
"176","Dole",47.042778,5.435,54
"177","Lyon",45.725556,5.081111,54
"178","Aberdeen",57.204167,-2.200278,54
"179","Hanover",52.460556,9.689444,55
"180","Casablanca",33.3675,-7.59,55
"181","Trieste",45.8275,13.472222,55
"182","Essaouira",31.3975,-9.681667,55
"183","Munich",48.353889,11.786111,56
"184","Innsbruck",47.260278,11.343889,56
"185","Menorca",39.8625,4.218611,56
"186","Kristiansand",58.204167,8.085278,56
"187","Asturias",43.563611,-6.034722,57
"188","Tallinn",59.413333,24.8325,58
"189","Sibiu",45.785556,24.091389,58
"190","Constanța",44.362222,28.488333,58
"191","Rijeka",45.216944,14.570278,58
"192","Vitoria-Gasteiz",42.882778,-2.724444,59
"193","Bastia",42.55,9.484722,59
"194","Caen",49.173333,-0.45,60
"195","Ouarzazate",30.939167,-6.909444,60
"196","Rotterdam",51.953056,4.430833,60
"197","Haugesund",59.345278,5.208333,60
"198","Helsinki",60.317222,24.963333,61
"199","Košice",48.663056,21.241111,61
"200","Reykjavik",63.985,-22.605556,61
"201","Trondheim",63.4575,10.924167,61
"202","Varna",43.231944,27.825,61
"203","Donostia / San Sebastián",43.356389,-1.790556,61
"204","Errachidia",31.946944,-4.398889,61
"205","Tuzla",44.458611,18.725556,62
"206","Târgu Mureș",46.467778,24.4125,63
"207","Chernivtsi",48.259444,25.980278,63
"208","Larnaca",34.875,33.624722,63
"209","Poprad",49.073611,20.241111,63
"210","Ajaccio",41.923889,8.8025,63
"211","Tel Aviv",32.007222,34.880556,63
"212","Friedrichshafen",47.671389,9.511389,63
"213","Douglas",54.083333,-4.624167,64
"214","Bacău",46.521944,26.910278,64
"215","Oradea",47.025278,21.9025,64
"216","Rzeszów",50.11,22.018889,64
"217","Valverde",27.814722,-17.886944,64
"218","A Coruña",43.302222,-8.377222,64
"219","Salzburg",47.793333,13.004444,65
"220","Donegal",55.044167,-8.341111,65
"221","Münster",52.134722,7.684722,65
"222","Strasbourg",48.541944,7.634444,65
"223","Moscow",55.591667,37.261389,66
"224","Tangier",35.726944,-5.916944,66
"225","Nizhnekamsk",55.566667,52.1,66
