,code,lat,lon
196,ATZ,27.0411,31.0114
197,AUA,12.5022,-70.0139
198,AUC,7.0703,-70.7406
199,AUG,44.3181,-69.7933
200,AUH,24.4331,54.6489
201,AUK,62.6833,-164.633
202,AUQ,-9.7719,-139.015
203,AUR,44.8984,2.41982
204,AUS,30.2027,-97.6653
205,AUX,-7.2281,-48.2403
206,AUY,-20.1909,169.825
207,AVL,35.4349,-82.5373
208,AVN,43.9056,4.89951
209,AVP,41.3354,-75.7294
210,AVU,-9.85,160.417
211,AVV,-38.0408,144.468
212,AWB,-8.01667,142.75
213,AWD,-19.2501,169.598
214,AWZ,31.3378,48.7597
215,AXA,18.2103,-63.0575
216,AXD,40.8567,25.9567
217,AXM,4.4564,-75.7681
218,AXP,22.4441,-73.9775
219,AXR,-15.5098,-146.538
220,AXT,39.6153,140.219
221,AXU,14.147,38.7726
222,AYQ,-25.1872,130.977
223,AYT,36.9022,30.7917
224,AZA,33.3078,-111.656
225,AZD,31.905,54.2786
226,AZN,40.7324,72.2931
227,AZO,42.2398,-85.5563
228,AZR,27.8378,-0.1864
229,AZS,19.2099,-69.3279
230,BAG,16.3764,120.619
231,BAH,26.2736,50.6234
232,BAL,37.93,41.1167
233,BAQ,10.8961,-74.7789
234,BAS,-7.98333,155.9
235,BAU,-22.345,-49.0531
236,BAV,40.5679,109.998
237,BAX,53.3667,83.75
238,BAY,47.6589,23.465
239,BBA,-45.9167,-71.6869
240,BBI,20.2466,85.8152
241,BBK,-17.8333,25.1667
242,BBN,3.73333,115.467
243,BBO,10.3917,44.95
244,BBS,51.3252,-0.84173
245,BBU,44.4966,26.087
246,BCA,20.3644,-74.5064
247,BCD,10.6444,122.929
248,BCI,-23.5635,145.305
249,BCL,10.7856,-83.5966
250,BCM,46.5283,26.8997
251,BCN,41.3006,2.07976
252,BDA,32.3675,-64.6903
253,BDB,-24.9046,152.322
254,BDD,-10.1214,142.142
255,BDH,26.5333,54.8239
256,BDJ,-3.4425,114.757
257,BDL,41.9271,-72.6816
258,BDO,-6.9017,107.576
259,BDP,26.5667,88.0833
260,BDQ,22.3367,73.2264
261,BDR,41.1636,-73.1283
262,BDS,40.6626,17.9426
263,BDU,69.0589,18.539
264,BEB,57.4756,-7.37041
265,BEG,44.8192,20.3122
266,BEL,-1.3844,-48.4783
267,BEN,35.6425,-87.1192
268,BES,48.4458,-4.41511
269,BET,60.7788,-161.847
270,BEU,-24.3544,139.463
271,BEW,-19.7958,34.9089
272,BEY,33.825,35.4925
273,BFD,41.7964,-78.6407
274,BFE,52,8.5
275,BFF,41.8683,-103.597
276,BFI,47.5369,-122.304
277,BFL,35.4288,-119.044
278,BFN,-29.0942,26.3027
279,BFS,54.6542,-6.225
280,BFV,15.2295,103.253
281,BGA,7.1217,-73.1883
